Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,SHORT_SMA,MEDIUM_SMA,SIGNAL,BM_RET,BM_EOD_BAL,BM_PNL,RETURNS,EOD_BAL,PNL,BM_EOD_BAL,BM_PNL,BM_EOD_BAL,PNL
11/15/2000,1259.800000,1273.000000,1248.000000,1249.600000,1249.600000,1247.190000,1.000000,0.001001,854719.562244,0.000000,0.001001,1255947.455251,0.000000,1001001.321745,0.000000,1001001.321745,0.000000
11/16/2000,1266.000000,1266.000000,1233.000000,1236.600000,1236.600000,1247.770000,1.000000,-0.010403,845827.633379,-8036.935705,-0.010403,1242881.420585,-11809.685179,990587.575600,-9412.424400,990587.575600,-9412.424400
11/17/2000,1227.500000,1329.850000,1222.000000,1239.850000,1239.850000,1246.845000,-1.000000,0.002628,848050.615595,0.000000,-0.002628,1239614.911919,0.000000,1002628.174026,0.000000,997371.825974,0.000000
11/20/2000,1237.000000,1243.500000,1236.000000,1240.950000,1240.950000,1246.375000,-1.000000,0.000887,848803.009576,0.000000,-0.000887,1238515.120490,0.000000,1003517.709850,0.000000,996486.953604,0.000000
11/21/2000,1230.100000,1239.900000,1228.000000,1238.850000,1238.850000,1244.870000,-1.000000,-0.001692,847366.621067,0.000000,0.001692,1240611.000060,0.000000,1001819.505095,0.000000,998173.260548,0.000000
11/22/2000,1246.000000,1246.000000,1220.000000,1223.100000,1223.100000,1240.575000,-1.000000,-0.012713,836593.707250,0.000000,0.012713,1256383.388365,0.000000,989082.969432,0.000000,1010863.440032,0.000000
11/23/2000,1225.000000,1227.000000,1215.000000,1217.050000,1217.050000,1235.075000,-1.000000,-0.004946,832455.540356,0.000000,0.004946,1262598.022900,0.000000,984190.522400,0.000000,1015863.623020,0.000000
11/24/2000,1224.000000,1232.000000,1224.000000,1227.050000,1227.050000,1233.480000,-1.000000,0.008217,839295.485636,0.000000,-0.008217,1252223.773502,0.000000,992277.211710,0.000000,1007516.688851,0.000000
11/27/2000,1234.000000,1256.500000,1233.000000,1254.850000,1254.850000,1237.625000,-1.000000,0.022656,858310.533516,12482.900137,-0.022656,1223853.437409,-19027.983176,1014758.207990,14758.207990,984690.427533,-15309.572467
11/28/2000,1251.600000,1273.500000,1251.600000,1271.550000,1271.550000,1239.945000,1.000000,0.013308,869733.242134,0.000000,0.013308,1240140.923885,0.000000,1013308.363549,0.000000,1013308.363549,0.000000
11/29/2000,1274.900000,1279.500000,1255.500000,1265.700000,1265.700000,1241.555000,1.000000,-0.004601,865731.874145,0.000000,-0.004601,1234435.427126,0.000000,1008646.451767,0.000000,1008646.451767,0.000000
11/30/2000,1181.000000,1270.000000,1181.000000,1269.400000,1269.400000,1244.835000,1.000000,0.002923,868262.653899,0.000000,0.002923,1238044.031914,0.000000,1011595.011356,0.000000,1011595.011356,0.000000
12/1/2000,1264.000000,1285.000000,1262.500000,1282.700000,1282.700000,1249.120000,1.000000,0.010477,877359.781122,0.000000,0.010477,1251015.503179,0.000000,1022193.887716,0.000000,1022193.887716,0.000000
12/4/2000,1285.000000,1292.900000,1276.150000,1281.650000,1281.650000,1253.190000,1.000000,-0.000819,876641.586867,0.000000,-0.000819,1249991.439658,0.000000,1021357.134319,0.000000,1021357.134319,0.000000
12/5/2000,1280.000000,1294.000000,1280.000000,1290.600000,1290.600000,1258.365000,1.000000,0.006983,882763.337893,0.000000,0.006983,1258720.362051,0.000000,1028489.460892,0.000000,1028489.460892,0.000000
12/6/2000,1318.000000,1320.000000,1300.000000,1301.150000,1301.150000,1266.170000,1.000000,0.008174,889979.480164,0.000000,0.008174,1269009.762190,0.000000,1036896.840260,0.000000,1036896.840260,0.000000
12/7/2000,1304.450000,1310.000000,1298.000000,1303.200000,1303.200000,1274.785000,1.000000,0.001576,891381.668947,0.000000,0.001576,1271009.124303,0.000000,1038530.501654,0.000000,1038530.501654,0.000000
